cust_key,name,email_address,mobile_number,signup_city,signup_country
CUST68,Kristina Goodwin,williamsveronica@example.com,001-270-403-8359x946,West Douglasville,Iceland
CUST69,Michael Hayes,jrhodes@example.net,001-385-517-6325,Lake David,Angola
CUST70,Anna Foster,santosjessica@example.net,683.981.3805x62036,South Luistown,Saint Pierre and Miquelon
CUST71,Miranda Cooper,maddenashley@example.org,7932016018,North William,Sri Lanka
CUST72,Scott Jackson,danielherrera@example.org,727.627.9684x962,Michaelchester,Ethiopia
CUST73,Curtis Smith,brett37@example.com,988-872-5972x23964,Lake Daniel,Latvia
CUST74,Stephen Mckenzie,danielatkins@example.com,001-776-244-0779x90182,East Lori,Spain
CUST75,Rebecca Johnson,beverly48@example.org,001-802-772-9159x2300,Amyton,Algeria
CUST76,Tiffany Deleon,alison86@example.net,474.836.2046,Youngland,Panama
CUST77,Gabriella Tyler,teresabenitez@example.org,966-897-6885,New Alexandriahaven,Bangladesh
CUST78,Edward Anderson,phines@example.com,001-500-782-7756x1417,Port Sarah,Gambia
CUST79,Manuel Stanley,jwallace@example.com,743-599-5976x2930,North Kevinton,Slovakia (Slovak Republic)
CUST80,Juan Hernandez,georgemartin@example.org,001-258-268-1594x0365,Josephfort,Sierra Leone
CUST81,Francisco Brown,moorematthew@example.net,2557731908,Christinafurt,Palau
CUST82,John Brooks,jose49@example.net,001-461-990-1218,Collinsmouth,Svalbard & Jan Mayen Islands
CUST83,Katie Moyer,banderson@example.net,001-510-642-9394,Jessicaview,Hungary
CUST84,Christian Moore,clarkcourtney@example.org,(260)253-2692,North Angela,French Southern Territories
CUST85,Jeffrey Marshall,robertsjessica@example.org,431-499-8390,East Nicole,Luxembourg
CUST86,Kim Collins,otran@example.org,(356)331-0536,Lewismouth,Norfolk Island
CUST87,Benjamin Jennings,stephensoneric@example.org,(581)436-3551x12239,Pamelamouth,Jordan
CUST88,Jeremy West DDS,ckennedy@example.net,582-225-1783,North Darrellview,Liberia
CUST89,Marco Jones,norrisronald@example.com,2812663158,South Russellfurt,Iraq
CUST90,Cheryl Walton,virginia66@example.org,368-407-2227x683,East Monica,Singapore
CUST91,Christopher Spears,pvega@example.net,751-488-2635x9792,West Scott,Cambodia
CUST92,Colleen Baker,charlesgray@example.com,5379364562,Amandaton,Jamaica
CUST93,Darlene Ochoa,turnerdaniel@example.net,(695)251-9730x225,Michaelborough,Antigua and Barbuda
CUST94,Erika Browning,pamela46@example.org,368-337-7568,Port Theresaton,Grenada
CUST95,Kellie Jennings,chriswhite@example.net,(876)675-8126,Bowmantown,Samoa
CUST96,Cynthia Horne,shepherdryan@example.org,439.999.4149x4751,Judithfort,Northern Mariana Islands
CUST97,Ricky Taylor,wolfevincent@example.org,001-369-997-2342,Allenbury,French Polynesia
CUST98,John Munoz,wanda60@example.org,(224)510-4097,Erinton,Eritrea
CUST99,Brenda Terry,david95@example.org,608-213-6291,Deborahfurt,Uruguay
CUST100,Christina Jackson,fherrera@example.com,(853)524-6004x8415,South Theodore,Turks and Caicos Islands
CUST101,Jonathan Hall,johnsonjames@example.com,960.592.9450x3253,Valeriechester,Martinique
CUST102,Cheyenne Lawson,yharper@example.org,550.475.5170x42474,West Emily,Lithuania
CUST103,Kelsey Rogers,qgould@example.com,7417379669,Lake Evelyn,Montenegro
CUST104,Trevor Kirk,kingwilliam@example.com,513-898-3173x32171,Molinaview,Greenland
CUST105,Christopher Farley,warrenwilliam@example.net,001-259-642-7154x69458,Lake Allisonburgh,Montserrat
CUST106,Larry Morgan,tinaward@example.org,479.921.5258x2639,South Tracy,Barbados
CUST107,Brittany Murphy,bmaxwell@example.org,(982)435-3216x01332,Jacobfort,Maldives
CUST108,Gloria Matthews,mosschad@example.net,749-259-6704x2781,Amandamouth,Saint Helena
CUST109,Jesse Cruz,lori94@example.org,2355183636,Donnaport,Jersey
CUST110,Melanie Foster,probinson@example.com,(688)789-2200,West Leemouth,Somalia
CUST111,Matthew Aguilar,sgreen@example.org,001-981-829-9924x464,North Kellyton,Slovakia (Slovak Republic)
CUST112,Carrie Jones,joseph66@example.net,947.951.4138x681,Masonmouth,Aruba
CUST113,Travis Tyler,ojenkins@example.org,668-441-2293x625,Barbarahaven,Saint Pierre and Miquelon
CUST114,Christopher Wong,nancy07@example.net,673-333-7613x607,Brownfort,Moldova
CUST115,Olivia Anderson,oscar77@example.net,957.797.8966x97281,Jacquelinemouth,Ireland
CUST116,Christine Gregory,skinnernicole@example.net,(776)414-5390x88086,East Sharon,Nepal
CUST117,Tracy Parker,dgreen@example.net,001-936-993-0313,Lake Shawnhaven,Canada
CUST118,Amy Young,ntorres@example.net,3229464647,Suttonshire,New Zealand
CUST119,Brian Miller,yhuber@example.com,807-761-0021,Rachelton,Namibia
CUST120,Cindy Le,julia25@example.org,416.542.3153x29893,Powellbury,Holy See (Vatican City State)
